walker	cdf_0	cdf_1	log_l	log_p
24	6.927551051e-01	-2.014307972e+00	2.000098739e+00	-7.377758908e+00
25	6.476158887e+00	-1.053634168e+00	-8.324277857e+00	-7.377758908e+00
26	1.662680132e+01	-1.803113109e+01	-8.324277908e+00	-7.377758908e+00
27	1.978190868e+01	-1.527902424e+01	-8.324278167e+00	-7.377758908e+00
28	1.801544605e+01	1.349752857e+01	-8.324278167e+00	-7.377758908e+00
29	-1.070337698e+01	1.192032801e-01	-1.139400239e+01	-7.377758908e+00
30	-2.526994813e+00	2.815138861e+00	-7.009185855e+00	-7.377758908e+00
31	1.007614879e+01	-8.357230889e-01	-8.324278167e+00	-7.377758908e+00
32	1.939459919e+01	-6.802784923e+00	-8.324278167e+00	-7.377758908e+00
33	-1.893873724e+01	-9.849787378e+00	-1.139400239e+01	-7.377758908e+00
34	1.697597641e+01	3.645112609e-01	-8.324278167e+00	-7.377758908e+00
35	-9.633739641e+00	-1.969997595e+01	-1.139400239e+01	-7.377758908e+00
36	-1.929181829e+01	1.523229516e+01	-1.139400239e+01	-7.377758908e+00
37	5.049658206e+00	1.947856288e+01	-8.324278167e+00	-7.377758908e+00
38	1.212842439e+01	1.115449259e+01	-8.324278167e+00	-7.377758908e+00
39	1.246550827e+00	-1.022334535e+01	1.378740947e+00	-7.377758908e+00
40	-1.967381422e+00	1.133294111e+01	-1.125863252e+01	-7.377758908e+00
41	-2.829406981e-01	6.988252977e+00	-9.074424426e+00	-7.377758908e+00
42	-1.960190071e+01	-1.013494771e+01	-1.139400239e+01	-7.377758908e+00
43	1.535032507e+01	1.733170297e+00	-8.324278167e+00	-7.377758908e+00
44	-7.747389396e+00	-1.402629396e+01	-1.139400239e+01	-7.377758908e+00
45	1.940140672e+01	1.472719954e+01	-8.324278167e+00	-7.377758908e+00
46	1.551884296e+01	-2.223749068e+00	-8.324278167e+00	-7.377758908e+00
47	1.428331113e+01	1.905566296e+01	-8.324278167e+00	-7.377758908e+00
48	1.007294335e+01	-8.448346723e+00	-8.324254213e+00	-7.377758908e+00
49	7.152512716e+00	-9.198101824e+00	-6.098263401e+00	-7.377758908e+00
0	1.895252296e+00	1.772058125e+01	-8.324402303e+00	-7.377758908e+00
1	1.022397060e+01	-1.443776451e+01	-6.225087872e+00	-7.377758908e+00
2	-1.740400921e+01	-3.094948149e+00	-1.139400239e+01	-7.377758908e+00
3	3.318017249e+00	-9.266275303e+00	4.726117088e+00	-7.377758908e+00
4	-8.753742316e+00	-5.665642129e-01	-1.139400239e+01	-7.377758908e+00
5	1.609193112e+01	-1.557980753e+01	-8.324278166e+00	-7.377758908e+00
6	1.475148214e+01	-1.366015574e+01	-8.324278165e+00	-7.377758908e+00
7	-5.702172701e+00	1.960078628e+01	-2.316818451e+01	-7.377758908e+00
8	3.841960574e+00	6.994800326e+00	-8.324281422e+00	-7.377758908e+00
9	7.442024558e+00	1.936055650e+01	-8.324278167e+00	-7.377758908e+00
10	1.312937065e-01	1.274433211e+01	-8.427255625e+00	-7.377758908e+00
11	-1.202575800e+00	1.638766641e+00	-2.186544304e+00	-7.377758908e+00
12	-1.495846046e+01	5.058686173e+00	-1.139400239e+01	-7.377758908e+00
13	8.989948128e-02	-1.354515760e+00	1.344233099e+00	-7.377758908e+00
14	1.917149015e+01	5.208292962e+00	-8.324278167e+00	-7.377758908e+00
15	2.384017553e+00	-1.286556748e+01	3.115623412e+00	-7.377758908e+00
16	-1.585854020e+01	1.395775458e+01	-1.139400239e+01	-7.377758908e+00
17	1.091257286e+01	-1.180300045e+00	-8.324278167e+00	-7.377758908e+00
18	1.627955648e+01	1.939210477e+01	-8.324278167e+00	-7.377758908e+00
19	2.158504492e+00	9.895377590e+00	-8.325218875e+00	-7.377758908e+00
20	-1.366111636e-01	9.060970824e+00	-8.724135631e+00	-7.377758908e+00
21	-1.490089913e+00	2.208018825e-01	-3.261360461e+00	-7.377758908e+00
22	1.465728236e+01	-9.259379552e+00	-8.324278167e+00	-7.377758908e+00
23	-1.516172005e+01	-8.736734234e+00	-1.139400239e+01	-7.377758908e+00
24	4.556041769e-01	-1.891269403e+00	1.902204222e+00	-7.377758908e+00
25	6.476158887e+00	-1.053634168e+00	-8.324277857e+00	-7.377758908e+00
26	5.817644152e+00	-1.554463901e+01	5.142672645e+00	-7.377758908e+00
27	1.978190868e+01	-1.527902424e+01	-8.324278167e+00	-7.377758908e+00
