walker	cdf_0	cdf_1	log_l	log_p
3	7.936495346e-01	-5.164954000e+00	3.102218556e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	9.916689369e+00	-2.084365198e+00	-7.816639694e+00	-7.377758908e+00
6	-5.184620870e-01	1.825320676e+01	-7.927665856e+00	-7.377758908e+00
7	3.108877836e+00	-1.024904373e+01	5.388572263e+00	-7.377758908e+00
8	1.948670993e+00	-1.040502300e+01	3.721807550e+00	-7.377758908e+00
9	3.621176781e+00	-7.929875535e+00	4.000739734e+00	-7.377758908e+00
0	-1.357973773e+01	3.951119201e+00	-1.137678112e+01	-7.377758908e+00
1	3.003506311e+00	-1.199203058e+01	5.036463554e+00	-7.377758908e+00
2	4.225444214e+00	-8.042679415e+00	2.594151654e+00	-7.377758908e+00
3	7.936495346e-01	-5.164954000e+00	3.102218556e+00	-7.377758908e+00
4	-1.141442547e+01	1.167804706e+01	-1.137678650e+01	-7.377758908e+00
5	1.311456409e+01	1.255037396e+00	-7.816639694e+00	-7.377758908e+00
6	4.750523923e+00	1.168363700e+01	-7.816639696e+00	-7.377758908e+00
7	3.108877836e+00	-1.024904373e+01	5.388572263e+00	-7.377758908e+00
8	1.948670993e+00	-1.040502300e+01	3.721807550e+00	-7.377758908e+00
9	3.179857836e+00	-7.847490674e+00	4.672527519e+00	-7.377758908e+00
0	-1.428939783e+01	4.607205826e+00	-1.137678112e+01	-7.377758908e+00
1	3.003506311e+00	-1.199203058e+01	5.036463554e+00	-7.377758908e+00
2	4.225444214e+00	-8.042679415e+00	2.594151654e+00	-7.377758908e+00
3	7.936495346e-01	-5.164954000e+00	3.102218556e+00	-7.377758908e+00
4	-1.141442547e+01	1.167804706e+01	-1.137678650e+01	-7.377758908e+00
5	1.670100117e+01	8.163292564e-01	-7.816639694e+00	-7.377758908e+00
6	4.750523923e+00	1.168363700e+01	-7.816639696e+00	-7.377758908e+00
7	3.113100291e+00	-1.010618025e+01	5.390237209e+00	-7.377758908e+00
8	1.948670993e+00	-1.040502300e+01	3.721807550e+00	-7.377758908e+00
9	3.179857836e+00	-7.847490674e+00	4.672527519e+00	-7.377758908e+00
0	-1.518254133e+01	2.410567009e+00	-1.137678112e+01	-7.377758908e+00
1	2.968734492e+00	-1.259037044e+01	4.819467284e+00	-7.377758908e+00
2	4.225444214e+00	-8.042679415e+00	2.594151654e+00	-7.377758908e+00
3	7.936495346e-01	-5.164954000e+00	3.102218556e+00	-7.377758908e+00
4	-1.232322302e+01	9.442907952e+00	-1.137678112e+01	-7.377758908e+00
5	1.670100117e+01	8.163292564e-01	-7.816639694e+00	-7.377758908e+00
6	4.750523923e+00	1.168363700e+01	-7.816639696e+00	-7.377758908e+00
7	3.113100291e+00	-1.010618025e+01	5.390237209e+00	-7.377758908e+00
8	2.081841043e+00	-1.012839016e+01	4.128264415e+00	-7.377758908e+00
9	3.179857836e+00	-7.847490674e+00	4.672527519e+00	-7.377758908e+00
0	-1.518254133e+01	2.410567009e+00	-1.137678112e+01	-7.377758908e+00
1	2.968734492e+00	-1.259037044e+01	4.819467284e+00	-7.377758908e+00
2	4.225444214e+00	-8.042679415e+00	2.594151654e+00	-7.377758908e+00
3	7.936495346e-01	-5.164954000e+00	3.102218556e+00	-7.377758908e+00
4	-1.801543724e+01	1.578215378e+01	-1.137678112e+01	-7.377758908e+00
5	1.670100117e+01	8.163292564e-01	-7.816639694e+00	-7.377758908e+00
6	4.527042346e+00	1.073204002e+01	-7.816639705e+00	-7.377758908e+00
7	3.113100291e+00	-1.010618025e+01	5.390237209e+00	-7.377758908e+00
8	1.947549669e+00	-1.013128235e+01	3.838759845e+00	-7.377758908e+00
9	3.179857836e+00	-7.847490674e+00	4.672527519e+00	-7.377758908e+00
0	-1.518254133e+01	2.410567009e+00	-1.137678112e+01	-7.377758908e+00
1	2.859389656e+00	-1.298605969e+01	4.513884376e+00	-7.377758908e+00
2	3.949760343e+00	-8.554098489e+00	3.958078258e+00	-7.377758908e+00
3	1.848874784e+00	-6.351221112e+00	4.588685236e+00	-7.377758908e+00
4	-1.619983463e+00	8.714277713e+00	-1.064246303e+01	-7.377758908e+00
5	1.077184552e+01	-3.325361020e+00	-7.816639694e+00	-7.377758908e+00
6	4.684201933e+00	1.304820714e+01	-7.816639695e+00	-7.377758908e+00
7	3.113100291e+00	-1.010618025e+01	5.390237209e+00	-7.377758908e+00
8	2.503426774e+00	-9.101095634e+00	5.047415959e+00	-7.377758908e+00
9	3.249145472e+00	-6.736493322e+00	3.479747613e+00	-7.377758908e+00
0	-1.518254133e+01	2.410567009e+00	-1.137678112e+01	-7.377758908e+00
1	2.675481072e+00	-1.177855271e+01	4.621909390e+00	-7.377758908e+00
2	3.940641328e+00	-8.544536772e+00	3.967570333e+00	-7.377758908e+00
3	2.112254037e+00	-8.080516621e+00	4.769882830e+00	-7.377758908e+00
4	-8.008631005e-01	6.115036383e+00	-8.894847038e+00	-7.377758908e+00
5	8.041613160e+00	-4.251207510e+00	-7.816637735e+00	-7.377758908e+00
6	4.684201933e+00	1.304820714e+01	-7.816639695e+00	-7.377758908e+00
7	3.113100291e+00	-1.010618025e+01	5.390237209e+00	-7.377758908e+00
