walker	cdf_0	cdf_1	model1_0	model2_0	log_l	log_p
8	-1.186786849e+00	4.188486918e-01	4.901102136e+00	-1.179544015e-01	-3.726619301e+01	-5.848701517e+00
9	4.074762675e-01	-1.645361244e+00	3.905966313e+00	1.083411060e+00	-1.734461874e+01	-6.493378157e+00
10	-1.001926503e-01	-2.942140900e-01	3.041302440e+00	7.990394464e-01	-2.389131017e+01	-5.105053140e+00
11	8.102731119e-01	7.090472853e-01	3.953640547e+00	2.239488696e+00	-8.606463454e+01	-5.636398176e+00
12	-1.033818299e+00	-7.241837366e-01	2.888293858e+00	1.757087699e+00	-3.805451246e+01	-5.853364071e+00
13	3.686664890e-01	1.596950081e-01	4.343463792e+00	1.012753516e+00	-1.567426018e+01	-5.137461629e+00
14	1.656292405e+00	-1.777738987e-01	1.034539902e+00	1.432849341e+00	-8.053007351e+01	-6.444206936e+00
15	1.357734006e-01	1.141561475e-02	4.154245424e+00	3.414595407e-01	-1.515515336e+01	-5.066035258e+00
16	1.144773502e+00	-7.734525666e-01	4.525200443e+00	1.591976291e+00	-5.218609370e+00	-6.011120513e+00
17	-3.116658602e-01	-9.131582755e-01	2.569210714e+00	1.092024764e+00	-3.489252317e+01	-5.522249713e+00
18	-9.433119397e-01	-7.264897045e-01	4.756238321e+00	-2.131711078e-02	-2.216049453e+01	-5.765565244e+00
19	9.840770907e-01	7.435995411e-01	3.313089701e+00	1.094303327e+00	-9.416760953e+01	-5.817426890e+00
20	6.211271966e-01	-1.930746460e-01	3.329377850e+00	1.203695970e+00	-1.653063579e+01	-5.268291298e+00
21	5.655123908e-01	1.826658975e-02	2.104183786e+00	1.372721637e+00	-5.062391184e+01	-5.216821858e+00
22	2.847074629e-01	2.131261254e-01	2.352345926e+00	-1.685446286e+00	-6.577096951e+01	-5.119993434e+00
23	-5.132758516e-01	-1.678151243e+00	5.609586761e+00	-8.410437147e-01	-4.477058664e+01	-6.596574738e+00
24	-3.152076196e-01	-3.689251925e-03	4.042659801e+00	1.437052609e+00	-1.015412114e+01	-5.106437618e+00
25	5.232492827e-01	-1.954304655e-01	3.085672993e+00	4.194670239e-01	-2.438309116e+01	-5.212744331e+00
26	4.953812754e-02	1.403631177e+00	2.206748602e+00	1.327784776e+00	-1.268952801e+02	-6.043070145e+00
27	2.004555017e+00	6.412395102e-01	1.109516619e+00	-1.496854250e+00	-1.359759348e+02	-7.271467355e+00
28	-6.705178321e-01	1.779284382e-01	1.594593351e+00	-6.795005832e-01	-6.145515971e+01	-5.297379237e+00
29	-5.854941383e-02	1.910316718e-01	2.230020205e+00	2.619762272e-01	-4.870789427e+01	-5.076713458e+00
30	-9.548715749e-02	-3.482761960e-01	2.692444858e+00	1.935212990e+00	-3.643755941e+01	-5.121959944e+00
31	5.135093130e-02	-2.198263764e-01	2.669197795e+00	2.020317635e+00	-3.699232599e+01	-5.082233168e+00
32	1.270715805e+00	6.027520472e-03	4.984082616e+00	-2.019211506e-03	-2.416460345e+01	-5.864130385e+00
33	2.418159130e-01	5.317565950e-01	2.702394919e+00	1.350786119e+00	-6.912134725e+01	-5.227372897e+00
34	-4.086418655e-01	-5.244970817e-01	4.063352116e+00	7.723285114e-01	-1.257540414e+01	-5.277795573e+00
35	5.982003457e-01	1.974071687e-01	4.642309364e+00	-1.895028242e+00	-6.952448188e+01	-5.255159513e+00
36	-1.005723482e+00	-6.642217833e-01	2.227884180e+00	2.811137229e+00	-7.433632656e+01	-5.783088041e+00
37	-3.784956011e-01	9.148132147e-01	2.771423494e+00	4.978514215e-01	-1.049518730e+02	-5.546823960e+00
38	7.238208382e-01	-3.315249941e-01	1.686784435e+00	-1.559213716e+00	-6.606661610e+01	-5.373665605e+00
39	-2.586304271e-01	-1.948839294e-01	5.358643891e+00	1.428605645e+00	-8.478854559e+00	-5.109187613e+00
40	9.227583808e-01	-3.103605270e-01	2.363630724e+00	1.682562684e+00	-3.993918302e+01	-5.530656234e+00
41	-1.835645956e-01	-2.478259456e-01	4.022771015e+00	1.907088257e+00	-1.186019047e+01	-5.104309721e+00
42	-4.568393169e-01	-1.056598126e+00	5.792870503e+00	7.165040366e-01	-1.945526144e+01	-5.719303772e+00
43	-8.277336065e-01	1.720554483e+00	1.141274423e+00	6.528954281e-01	-1.551673963e+02	-6.879478217e+00
44	-9.701207279e-01	8.278053295e-01	3.195594430e+00	5.463729462e-01	-8.207964761e+01	-5.869950836e+00
45	-4.453649900e-01	-5.250575510e-01	1.204397446e+00	-4.947840539e-01	-6.980392033e+01	-5.293770594e+00
46	9.511193293e-01	1.705961081e+00	5.192916156e+00	-1.842551538e+00	-1.571218137e+02	-6.964218486e+00
47	-1.133455436e-01	3.071825481e-01	2.531906547e+00	-8.016692566e-01	-5.796943962e+01	-5.110357056e+00
48	-1.348088339e+00	-4.148080880e-01	3.958140825e+00	-1.165318036e+00	-5.495844359e+01	-6.051456850e+00
49	-7.952949360e-01	-4.709738662e-02	1.527605071e+00	1.739435164e+00	-6.825862346e+01	-5.374108991e+00
0	2.613490078e-01	1.229441477e+00	4.089303587e+00	2.074951524e-01	-1.103649621e+02	-5.846667716e+00
1	-2.627978456e+00	-1.895703956e-01	1.429500413e+00	-1.363294258e+00	-9.112930450e+01	-8.527856741e+00
2	8.350987683e-01	-2.211809993e+00	4.596734597e+00	1.664006582e+00	-2.026062948e+01	-7.851499590e+00
3	-5.118732995e-02	-3.413164515e-01	3.496839092e+00	1.339499304e+00	-1.568913338e+01	-5.116311423e+00
4	2.359638678e-01	-2.011784440e-01	2.529319704e+00	3.617053670e-01	-3.387409300e+01	-5.104828748e+00
5	-1.058600856e+00	3.513355045e-01	3.344630097e+00	-6.720977588e-02	-3.819836856e+01	-5.678789096e+00
6	1.889695891e+00	-1.242355453e+00	2.114974960e+00	1.580511586e+00	-4.560534687e+01	-7.613951707e+00
7	1.083529070e+00	-4.698757083e-02	4.597018514e+00	1.295648898e+00	-7.993338707e+00	-5.644874430e+00
8	-1.186786849e+00	4.188486918e-01	4.901102136e+00	-1.179544015e-01	-3.726619301e+01	-5.848701517e+00
9	5.992627155e-01	-2.413063625e+00	4.572011148e+00	5.788527875e-01	-1.611513413e+01	-8.147748821e+00
10	-2.409039873e-01	-1.127268420e-01	3.066259253e+00	7.581705034e-01	-2.427200389e+01	-5.092123927e+00
11	8.102731119e-01	7.090472853e-01	3.953640547e+00	2.239488696e+00	-8.606463454e+01	-5.636398176e+00
12	-1.033818299e+00	-7.241837366e-01	2.888293858e+00	1.757087699e+00	-3.805451246e+01	-5.853364071e+00
13	3.892349697e-01	7.952075792e-02	4.481179491e+00	9.924491015e-01	-1.127269974e+01	-5.135666598e+00
14	1.656292405e+00	-1.777738987e-01	1.034539902e+00	1.432849341e+00	-8.053007351e+01	-6.444206936e+00
15	6.171625028e-01	-8.799940472e-02	5.682463224e+00	9.510148198e-01	-1.180630569e+01	-5.251069616e+00
16	1.113225774e+00	-7.409389006e-01	4.466822361e+00	1.542879237e+00	-5.047463907e+00	-5.950883930e+00
