cdf_0 cdf_1 model1_0 model2_0
1.7437308956576512 -0.8094063018472977 4.9243087134304435 1.2492645604362822
1.3535264354142766 -0.5730089015143114 5.015107744332201 1.2001314784975181
0.9982804653627062 -0.2724168292351356 4.655168206097101 1.146567615927074
2.4355036480521712 -0.5788527470265299 4.692502198665631 1.044244434837645
2.779761355527069 -0.4476942580279702 4.595799535282019 1.3348264887253156
1.0273072778272108 -0.8228571652609951 4.4982888677278305 1.7245278897168879
1.199014257178385 -0.1368479899727028 4.812762227251796 1.3267278271896887
1.599147994262914 -0.5032073060410248 4.310648690330614 1.3003388204059372
1.0315552478527303 -0.3881512794747743 4.890773883641956 1.4967901591157413
0.5810393502714497 -0.04050454365738021 4.708276172402757 1.3382890140714934
0.9849114496356676 -0.6086428064681401 4.596642602218688 1.31283127407961
1.0020393579603206 -0.5778085953074772 4.63214921697632 1.4624929694792848
1.1903561770316164 -0.7873511578855432 4.803692091664528 0.9190639633433529
1.215188765339666 -0.4671492264327971 4.6879624728081515 1.7650123789754595
0.9771341023390552 -0.5511341057233269 5.021133651637016 1.8710300955326111
0.470205180262085 -0.5783634065319778 5.256583937413299 0.5453543844769172
0.4045157719584218 -0.16892510574495603 4.503141141235855 1.6385764307883584
0.3680389134088129 -0.24949916172253936 4.5901520158894344 1.5953581088252835
1.468356482722509 -0.4723378378920523 4.775905029066293 2.0528609645907254
1.224411308325042 -0.4053518124557646 4.80055767778791 2.1232839791914806
1.697635724713843 -0.7532151476207285 4.9210176698965125 1.365218320780626
1.70357829793379 -0.7440100442716995 4.889640725783905 1.348699528887602
2.8353333751571794 -0.4495994284215562 4.298533883354428 0.9290065800287786
2.3920578237680523 -0.7205510945348904 4.929194748131297 1.5344365269305889
2.0100066031470223 -0.5883933517285497 5.089118659656911 1.6180802584585257
0.3796945484677192 -0.3023020105165456 4.605425215257798 2.0127168847245054
1.7959485944137212 -0.5472476544009337 5.0096034260048095 1.1904243844574864
2.579297570448038 -0.599279344203631 5.410120302810985 1.1115258934624408
1.5224048844250786 -0.6727809178398152 5.368485978041761 1.2877607160082731
1.689180011930159 -0.6521011624080499 4.864742111694227 1.6340330029078654
2.4665967191658105 -0.8362666624496051 4.958580261284074 1.7531392852120957
1.8160501724129334 -0.7134604464666232 5.008093136926281 1.3946325435338385
2.2188528171363173 -0.8058365830153427 5.014068789226561 1.182583260328534
1.8133737849079354 -0.5737420051703536 4.940474200614028 1.3426644192298212
1.1073795087988034 -0.4541870324395574 4.838872637689773 1.6338606409997662
2.941636017474905 -0.9184351349958713 5.221999753238551 1.3120521668236307
2.9246960979273915 -0.8189842759955578 5.189554061858568 1.2676041460312026
0.7359358465865317 -0.36037341015072233 4.180832945280498 1.431839904508078
1.4556892456291006 -0.49513466428854114 5.170034315457277 1.2163860542263785
0.37382778159681274 -0.41218706651005765 4.690096403907279 1.1377878708941258
2.155995337175524 -0.658542132577422 5.070139013106008 1.1453117855645463
1.310321453099839 -0.5475732954933807 4.8845185283019354 1.201099532596483
1.2875921973342876 -0.5289831406564947 4.744746404709121 0.9304251447560539
1.0722002666007415 -0.5075222855136288 4.744700841871133 0.9865679803732805
2.0526702718141094 -0.27095979496364114 4.579853135175638 1.4683592512114405
1.8582583690732872 -0.5643745601637813 4.6583198478606125 1.3579149207522143
2.534011695050201 -0.6640426925517454 4.6896273234587955 1.0476978897712304
0.7675893200151128 -0.1467670209514902 4.89681511659664 0.9236848664330397
0.4644567013899451 -0.005207795242244684 5.358321945648311 1.3988028790345812
1.016983238961151 -0.5551518279904759 4.189049622458616 1.3913232540614464
1.2727128574929445 -0.396597204909263 4.934083263585895 1.066877445069088
2.0098580158063166 -0.4765527850560451 5.113711245754608 0.7728987564899961
0.7507598510072009 -0.4582842509554632 4.883659636905495 1.0014775374868776
2.3697699876206846 -1.240870196075938 5.054190469511787 1.2932042246070705
1.977943581509883 -0.8446967113999084 4.79770792976142 1.0949011405419955
2.1273884683826467 -1.1421675393777813 4.6117192141580485 0.8282473966889365
1.9253633650806177 -0.546535861711243 4.8432910825406355 1.1461114652254247
1.1960158606914741 -0.36439063910249064 4.325847086816754 1.9087605986432241
1.908708328064203 -0.45126299353206334 4.761592759591273 1.1395573598549877
2.330966469643825 -0.8107934843699511 4.440498935551442 1.1003792794824379
2.525705662863258 -0.6244215681286637 4.41960685956065 0.9915604662024676
3.2666296373975694 -0.676638011742956 4.569304406343464 0.9964772544878971
3.1031316500757438 -0.6306808002019082 4.82349674148071 0.994102255143126
3.2161200550550486 -0.6521459517416319 4.8194409517968975 0.8784855303544493
1.042535934436825 -0.9026289344449836 4.241182885458703 0.8147266093142158
0.17256960435461266 -0.29958658423763695 4.812340698534706 1.6198136540933634
2.107317841796236 -0.6425539932729706 4.802714859636242 0.7627269362180573
1.9580290099559805 -0.5870785953429218 4.751055478375694 0.9623609621137528
2.6756353523935634 -0.5697350177090119 4.631517475843289 0.6825558696793663
1.4814995812266705 -0.4776184287550216 4.509311799070306 1.00195090861329
1.9711975680041198 -0.5406610101131231 4.458868010532128 0.9236721071842817
1.4610316618213794 -0.4662078349058495 4.67576726503653 1.117966480967228
1.4326610944258253 -0.6953437234878959 4.485947146938652 1.0408505182277583
0.7856641995932787 -0.24950458536139844 4.312853292466118 1.307374140453529
0.8165625313338319 -0.2622322961857222 4.354492397174425 1.3130825407124556
0.9880176345400391 -0.4501510181153075 4.645953725633905 0.9835644910068249
1.3147628464290004 -0.5385593400649438 4.699807775795979 1.1354919867811697
1.8491149815619963 -0.47841657398760473 4.461493031856484 1.5123522133711091
1.7715664161793652 -0.38955111825294997 4.532154077751108 1.4065789396934585
0.4602909697023543 -0.4220144043153366 4.878327687508384 1.417717974347315
0.7230301706326604 -0.5003151528491294 4.670317544896323 0.7601430082635333
0.42678823603006166 -0.3302376702720404 4.865521331984152 1.2105442300962759
0.49281893880364513 -0.32818415072367735 4.568820000076561 1.169032976230941
